fecha,rango,limite_inferior,limite_superior,cuota,tasa
2016,1,0.01,496.07,0,1.92
2016,2,496.08,4210.41,9.52,6.4
2016,3,4210.42,7399.42,247.24,10.88
2016,4,7399.43,8601.5,594.21,16
2016,5,8601.51,10298.35,786.54,17.92
2016,6,10298.36,20770.29,1090.61,21.36
2016,7,20770.3,32736.83,3327.42,23.52
2016,8,32736.84,62500,6141.95,30
2016,9,62500.01,83333.33,15070.9,32
2016,10,83333.34,250000,21737.57,34
2016,11,250000.01,,78404.23,35
2017,1,0.01,496.07,0,1.92
2017,2,496.08,4210.41,9.52,6.4
2017,3,4210.42,7399.42,247.24,10.88
2017,4,7399.43,8601.5,594.21,16
2017,5,8601.51,10298.35,786.54,17.92
2017,6,10298.36,20770.29,1090.61,21.36
2017,7,20770.3,32736.83,3327.42,23.52
2017,8,32736.84,62500,6141.95,30
2017,9,62500.01,83333.33,15070.9,32
2017,10,83333.34,250000,21737.57,34
2017,11,250000.01,,78404.23,35
2018,1,0.01,578.52,0,1.92
2018,2,578.53,4910.18,11.11,6.4
2018,3,4910.19,8629.2,288.33,10.88
2018,4,8629.21,10031.07,692.96,16
2018,5,10031.08,12009.94,917.26,17.92
2018,6,12009.95,24222.31,1271.87,21.36
2018,7,24222.32,38177.69,3880.44,23.52
2018,8,38177.7,72887.5,7162.74,30
2018,9,72887.51,97183.33,17575.69,32
2018,10,97183.34,291550,25350.35,34
2018,11,291550.01,,91435.02,35
2019,1,0.01,578.52,0,1.92
2019,2,578.53,4910.18,11.11,6.4
2019,3,4910.19,8629.2,288.33,10.88
2019,4,8629.21,10031.07,692.96,16
2019,5,10031.08,12009.94,917.26,17.92
2019,6,12009.95,24222.31,1271.87,21.36
2019,7,24222.32,38177.69,3880.44,23.52
2019,8,38177.7,72887.5,7162.74,30
2019,9,72887.51,97183.33,17575.69,32
2019,10,97183.34,291550,25350.35,34
2019,11,291550.01,,91435.02,35
2020,1,0.01,578.52,0,1.92
2020,2,578.53,4910.18,11.11,6.4
2020,3,4910.19,8629.2,288.33,10.88
2020,4,8629.21,10031.07,692.96,16
2020,5,10031.08,12009.94,917.26,17.92
2020,6,12009.95,24222.31,1271.87,21.36
2020,7,24222.32,38177.69,3880.44,23.52
2020,8,38177.7,72887.5,7162.74,30
2020,9,72887.51,97183.33,17575.69,32
2020,10,97183.34,291550,25350.35,34
2020,11,291550.01,,91435.02,35
2021,1,0.01,644.58,0,1.92
2021,2,644.59,5470.92,12.38,6.4
2021,3,5470.93,9614.66,321.26,10.88
2021,4,9614.67,11176.62,772.1,16
2021,5,11176.63,13381.47,1022.01,17.92
2021,6,13381.48,26988.5,1417.12,21.36
2021,7,26988.51,42537.58,4323.58,23.52
2021,8,42537.59,81211.25,7980.73,30
2021,9,81211.26,108281.67,19582.83,32
2021,10,108281.68,324845.01,28245.36,34
2021,11,324845.02,,101876.9,35
2022,1,0.01,644.58,0,1.92
2022,2,644.59,5470.92,12.38,6.4
2022,3,5470.93,9614.66,321.26,10.88
2022,4,9614.67,11176.62,772.1,16
2022,5,11176.63,13381.47,1022.01,17.92
2022,6,13381.48,26988.5,1417.12,21.36
2022,7,26988.51,42537.58,4323.58,23.52
2022,8,42537.59,81211.25,7980.73,30
2022,9,81211.26,108281.67,19582.83,32
2022,10,108281.68,324845.01,28245.36,34
2022,11,324845.02,,101876.9,35